"";"Идентификатор";"Комнатность";"Новостройка";"Метро.Район";"Время.до.метро";"Этаж";"Этажность";"Площадь.общая"
"394";24008648;1;"Да";"Добрынинская";10;8;12;44
"395";24006433;1;"Нет";"Серпуховская";10;8;12;45
"396";24013254;1;"Да";"Октябрьская";10;8;17;45
"397";24013255;1;"Да";"Октябрьская";10;8;17;45
"398";24006681;1;"Нет";"Октябрьская";10;8;14;44
"399";24006682;1;"Нет";"Октябрьская";10;8;14;44
"400";24006691;1;"Нет";"Серпуховская";10;8;14;44
"401";24006604;1;"Да";"Добрынинская";10;8;14;44
"402";23970056;3;"Нет";"Смоленская";5;3;3;68
"403";22425356;3;"Нет";"Новослободская";5;3;10;90
"404";24042774;3;"Нет";"Парк культуры";NA;5;5;73
"405";24013444;45;"Нет";"Октябрьская";10;8;12;1
"406";23653060;2;"Нет";"Цветной бульвар";NA;3;6;70
"407";24043318;3;"Нет";"Новокузнецкая";7;8;8;54
"408";23819039;3;"Нет";"Киевская";NA;4;8;80
"409";24042924;1;"Нет";"Октябрьская";NA;8;17;60
"410";21021007;3;"Нет";"Таганская";5;2;17;75
"411";23187521;3;"Нет";"Смоленская";4;1;5;70
"412";22919124;4;"Нет";"Киевская";10;1;6;86
"413";23859280;1;"Нет";"Кропоткинская";NA;8;16;34
"414";23729417;2;"Нет";"Маяковская";3;4;7;47
"415";24042694;2;"Нет";"Парк культуры";NA;3;5;57
"416";23963770;3;"Нет";"Новокузнецкая";5;5;5;98
"417";24043173;3;"Нет";"Цветной бульвар";NA;4;17;74
"418";23614296;3;"Нет";"Краснопресненская";4;5;6;83
"419";24039767;4;"Нет";"Баррикадная";10;1;12;74
"420";24039777;4;"Нет";"Белорусская";10;1;12;74
"421";24001782;1;"Да";"Серпуховская";10;10;17;52
"422";23994824;1;"Да";"Октябрьская";10;10;11;52
"423";24001881;1;"Да";"Октябрьская";10;10;14;52
"424";24002154;1;"Да";"Октябрьская";10;10;14;52
"425";24001703;1;"Да";"Октябрьская";10;10;11;53
"426";24013257;1;"Да";"Добрынинская";10;6;17;52
"427";24013256;1;"Да";"Добрынинская";10;6;17;52
"428";23614177;2;"Нет";"Маяковская";5;6;17;61
"429";23694030;2;"Нет";"Проспект Мира";5;1;9;57
"430";23927731;3;"Нет";"Добрынинская";NA;5;7;87
"431";23861960;4;"Нет";"Третьяковская";5;3;5;105
"432";23869605;4;"Нет";"Третьяковская";5;3;5;105
"433";24042349;4;"Нет";"Чистые пруды";7;2;4;121
"434";24013445;54;"Нет";"Октябрьская";10;6;12;1
"435";24007458;1;"Нет";"Чеховская";10;6;12;48
"436";24007462;1;"Нет";"Чеховская";10;6;12;48
"437";24007481;1;"Нет";"Чеховская";10;6;12;48
"438";24006694;1;"Да";"Октябрьская";10;6;14;48
"439";24006434;1;"Нет";"Серпуховская";10;6;12;48
"440";24008649;1;"Да";"Добрынинская";10;6;12;49
"441";24006693;1;"Да";"Октябрьская";10;6;14;48
"442";24006686;1;"Да";"Октябрьская";10;6;14;48
"443";24006692;1;"Да";"Октябрьская";10;6;14;48
"444";24006607;1;"Да";"Добрынинская";10;6;14;48
"445";23233930;3;"Нет";"Таганская";5;5;7;76
"446";22194651;3;"Нет";"Киевская";5;3;6;86
"447";24008650;1;"Да";"Добрынинская";10;11;12;53
"448";24013259;1;"Да";"Серпуховская";10;11;17;53
"449";24006435;1;"Нет";"Серпуховская";10;11;12;53
"450";24013258;1;"Да";"Серпуховская";10;11;17;53
"451";24002155;1;"Да";"Октябрьская";10;11;14;53
"452";24001704;1;"Да";"Октябрьская";10;11;11;53
"453";24001705;1;"Да";"Октябрьская";10;11;11;53
"454";24001808;1;"Да";"Серпуховская";10;11;17;53
"455";24001882;1;"Да";"Октябрьская";10;11;14;53
"456";24007206;1;"Да";"Октябрьская";10;11;14;53
"457";24002170;1;"Нет";"Серпуховская";10;11;14;53
"458";24002173;1;"Нет";"Серпуховская";10;11;14;53
"459";24002171;1;"Нет";"Серпуховская";10;11;14;53
"460";24002172;1;"Нет";"Серпуховская";10;11;14;53
"461";24042695;2;"Нет";"Тверская";NA;1;6;62
"462";24043390;2;"Нет";"Пушкинская";7;5;6;60
"463";22929078;3;"Нет";"Арбатская";NA;1;6;70
"464";23991843;3;"Нет";"Сухаревская";10;7;7;76
